#name type ability hp attack def spatk spdef speed male% eggGroup exp cycles
bulbasaur grass/Poison Overgrow/chlorophyll 45 49 65 65 65 45 87 monster,grass 64 21
ivysaur grass/poison overgrow/chlorophyll 60 62 63 80 80 60 87 monster,grass 141 21
venusaur grass/poison overgrow/chlorophyll 80 82 83 100 100 80 87 monster,grass 208 21
charmander fire blaze/solar.power 39 52 43 60 50 65 87 dragon,monster 65 21
charmeleon fire blaze/solar.power 58 64 58 80 65 80 87 dragon,monster 142 21
charizard fire/flying blaze/solar.power 78 84 78 109 85 100 87 dragon,monster 209 21
squirtle water torrent/rain.dish 44 48 65 50 64 43 87 monster/water1 66 21
wartortle water torrent/rain.dish 59 63 80 65 80 58 87 monster/water1 143 21
blastoise water torrent/rain.dish 79 83 100 85 105 78 87 monster/water1 210 21
caterpie bug shield.dust/run.away 45 30 35 20 20 45 50 bug 53 16
metapod bug shed.skin 50 20 55 25 25 30 50 bug 72 16
butterfree bug/flying compound.eyes/tinted.lens 60 45 50 90 80 70 50 bug 160 16
weedle bug/poison shield.dust/run.away 40 35 30 20 20 50 50 bug 52 16
kakuna bug/poison shed.skin 45 25 50 25 25 35 50 bug 71 16
beedrill bug/poison swarm/sniper 65 90 40 45 80 75 50 bug 159 16
pidgey normal/flying keen.eye/tangled.feet 40 45 40 35 35 56 50 flying 55 16
pidgeotto normal/flying keen.eye/tangled.feet 63 60 55 50 50 71 50 flying 113 16
pidgeot normal/flying keen.eye/tangled.feet 83 80 75 70 0 101 50 flying 172 16
rattata normal guts/run.away 30 56 35 25 35 72 50 field 57 16
raticate normal guts/run.away 55 81 60 50 70 87 50 field 116 16
spearow normal/flying keen.eye/sniper 40 60 30 31 31 70 50 flying 58 16
fearow normal/flying keen.eye/sniper 65 90 65 61 61 100 50 flying 162 16
ekans poison intimidate/shed.skin 35 60 44 40 54 55 50 dragon,field 62 21
arbok poison intimidate/shed.skin 60 85 69 65 79 80 50 dragon,field 147 21
pikachu electric static/lightning.rod 35 55 40 50 50 90 50 fairy,field 82 11
raichu electric static/lightning.rod 60 90 55 90 80 110 50 fairy,field 122 11
sandshrew ground sand.veil/sand.rush 50 75 85 20 30 40 50 field 92 21
sandslash ground sand.veil/sand.rush 75 100 110 45 55 65 50 field 163 21
Nidoran♀ poison poison.point/rivalry 55 47 52 40 40 41 0 field,monster 59 21
Nidorina poison poison.point/rivalry 70 62 67 55 55 56 0 undiscovered 117 21
Nidoqueen poison/ground poison.point/rivalry 90 92 87 75 85 76 0 undiscovered 194 21
Nidoran♂ poison poison.point/rivalry 46 57 40 40 40 50 100 field,monster 60 21
Nidorino poison poison.point/rivalry 61 72 57 55 55 65 100 field,monster 118 21
Nidoking poison/ground poison.point/rivalry 81 102 77 85 75 85 100 field,monster 195 21
clefairy fairy cute.charm/magic.guard 70 45 48 60 65 35 25 fairy 68 11
clefable fiary cute.charm/magic.guard 95 70 73 95 90 60 25 fairy 129 11
vulpix fire flash.fire/drought 38 41 40 50 65 65 25 field 63 21
ninetails fire flash.fire/drought 73 76 75 81 100 100 25 field 178 21
jigglypuff normal/fairy competetive/cute.charm 115 45 20 45 25 20 25 fairy 76 11
wigglytuff nomral/fairy competetive/cute.charm 140 70 45 85 50 45 25 fairy 109 11
zubat poison/flying inner.focus/infiltrator 40 45 35 30 40 55 50 flying 54 16
golbat poison/flying inner.focus/infiltrator 75 80 70 65 75 90 50 flying 171 16
oddish grass/poison chlorophyll/run.away 45 50 55 75 65 30 50 grass 78 21
gloom grass/poison chlorophyll/run.away 60 65 70 85 75 40 50 grass 132 21
vileplume grass/poison chlorophyll/effect.spore 75 80 85 110 90 50 50 grass 184 21
paras bug/grass dry.skin/effect.spore 35 70 55 45 55 25 50 bug,grass 70 21
parasect bug/grass dry.skin/effect.spore 60 95 80 60 80 30 50 bug,grass 128 21
venonat bug/poison compound.eye/tinted.lens 60 55 50 40 55 45 50 bug 75 21
venomoth bug/poison compound.eye/tinted.lens 70 65 60 90 75 90 50 bug 138 21
diglett dground arena.trap/sand.veil 10 55 25 35 45 95 50 field 81 21
dugtrio ground arena.trap/sand.veil 35 80 50 50 70 120 50 field 153 21
meowth normal pickup/technician 40 45 35 40 40 90 50 field 69 21
persian normal limber/technician 65 70 60 65 65 115 50 field 148 21
psyduck water cloud.nine/damp 50 52 48 65 50 55 50 field,water1 80 21
golduck water cloud.nine/damp 80 82 78 95 80 85 50 field,water1 174 21
mankey fighting anger.point/vital.spirit 40 80 35 35 45 70 50 field 74 21
